,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
bulet,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
levnet,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
innsunket,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gulbrune,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glitra,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
undrende,,,,,1.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
slukket,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spesielle,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
allerede.,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ansett,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klarere,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
umulige,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skeptisk,,,,,4.0,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
besvarte,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bendt,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glippe,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Jeg,,,,,2.0,,,,1.0,,6.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
S,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smiler.,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sydd,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
184,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,
milde,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fokus,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blunker,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
registrerte,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
olmt,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
forbundet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oste,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mette,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uforskammet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
men,,,,,1.0,,,,,,4.0,,,,1.0,3.0,,,,,1.0,3.0,1.0,,,,,,,,,,2.0,,,,
gjemte,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hans.Velg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skarpt,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
skøyeraktig,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
’,,,,,2.0,1.0,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,
passer,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
pie,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regarder,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mes,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blessure,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondre,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avoir,,,,,1.0,,,,,,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
Solskjær,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
lyset,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
les,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klatre,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
je,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
hjemsøkte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frou-frou,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gulere,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
enorme,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kennes,,,,,2.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
rommet,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
valgte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprutet,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suget,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
colabegeret,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forvirrer,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nekter,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
jogge,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lukkes,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
™,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
undersøkte,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fortere,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
dystre,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bet,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spruter,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullførte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
funkler,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allikevel,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
bebreidende,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
91,,,,,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,
Kan,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haiis,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merkes,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tilpasse,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signaliserte,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
skapte,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rødkantede,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smalne,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smalere,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
beskjeftiget,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mildner,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
starter,,,,,2.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Maia,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiLpasserseg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hennes-,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spør,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
avspeilet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lovet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lukte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mintes,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tegner,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stive,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
mistenk-,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppdager,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
sparer,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprenger,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blant,,,,,1.0,,,,,,1.0,,,,,3.0,,,2.0,,,,,,,,,,,,,,1.0,,,,
gjette,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signaliserer,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprette,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
serjeg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lukka,,,,,3.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
Lukte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ira,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skades,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vurderte,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asmira,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oftest,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
tindrer,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nydelig,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
befant,,,,,2.0,1.0,,,1.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
krympet,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
kantet,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intenst,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Abra-kadabra,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oase,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ett,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
van-,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isblå,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bønnfaller,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noe,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tålmodig,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uttrykker,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utålmodige,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"renner,",,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiille,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buzkashi-,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utallige,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
tristere,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lurte,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,
forvandles,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forårsaket,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRØMMER,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overvåket,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
druknet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slått,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
dukket,,,,,2.0,2.0,,,10.0,,8.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,
takket,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
førte,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,7.0,,,,
grønne,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
mistroisk,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gylne,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fars,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,
snappet,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
dristig,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppfattet,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
fornemmet,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pappa,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
rødkantete,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utvekslet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motTatjana,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forbløffet,,,,,4.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
drakk,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hildegunn,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berørt,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppsvulmet,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sløvt,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
røttet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
registrerer,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plaget,,,,,1.0,,,,2.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,4.0,,,,
162,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
unaturlig,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desto,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sviktet,,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,27.0,1.0,,,,,,
oppfanget,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glante,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ficnnes,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunklere,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvelte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dør,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
meget,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klart,,,,,1.0,,,,,,46.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
naglet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
hvisket,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
hindret,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
luklcet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mistenkte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kvernet,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarina,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemene,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
ti,,,,,1.0,,,,2.0,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,
skrumper,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
myknet,,,,,4.0,,,,11.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Lucas,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sminket,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blodskutt,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antok,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
sladdet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snufset,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sloknet,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIMUS,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
åprie,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
funHet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjokkstore,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skannet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normalt,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
fascinert,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
oppsiktsvekkende,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efter,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Fordi,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hjemsøker,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prøver,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
stivnen,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Den,,,,,1.0,,,,,1.0,1.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,2.0,,2.0,,
løse,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
lyse,,,,,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
skjener,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skrår,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprer,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,
fange,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
voktet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ogsatt,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrige,,,,,1.0,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
stirrer.,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tillitsfulle,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Billie,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mister,,,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,
ito,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
Hundre,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
fyller,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,
behandlet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
drikke,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tidligere,,,,,1.0,,,,1.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
vises,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tener,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
styrte,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,
115,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
ojeriza,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skyggela,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga.,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sveipte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tø,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,
landet,,,,,1.0,,,,1.0,,5.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,
leverer,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snublet,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,
Gud,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boka,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friskere,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gine,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virka,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uopprettelig,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,
awkwardly,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bra,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
fascinerte,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halv,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tegn,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tidsnok,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
runde,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grå,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peke,,,,,1.0,,,,,,,,,,,,,,3.0,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,
pd,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pust,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
lukkét,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
eksportert,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraktes,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skrek,,,,,1.0,,,,3.0,,3.0,3.0,2.0,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,
bidro,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sitter,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gjelder,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaldt,,,,,1.0,,,,,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,
mysende,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veiviseren,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brister,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
